topic_id;keywords;n_queries;n_real;n_synth;item_count_no_topico;map_medio;bm25;e5;e5_hybrid;bge_m3_hybrid
5;je, mm rede, rede coletora, coletora esgoto, coletora, rede;4;4;0;103;0.5982;0.6111;0.5371;0.5694;0.6750
27;pex, tubo pex, conexao, conexao anel, plastica, metalica;2;2;0;58;0.5500;0.5500;0.5500;0.5500;0.5500
21;agua esgoto, densidade pead, polietileno alta, alta densidade, densidade, pn;48;48;0;64;0.5491;0.6823;0.3512;0.4875;0.6753
2;bloco, furos, cm, vedacao, mpa, estrutural;28;28;0;144;0.5459;0.6648;0.3817;0.5243;0.6128
73;distancia, kg, carroceria, eixos, cv inclui, peso bruto;6;6;0;30;0.5431;0.7639;0.2563;0.4486;0.7037
15;ppr, quente predial, graus soldavel, quente, predial joelho, ff;5;5;0;70;0.5349;0.5096;0.4085;0.6094;0.6121
94;diametro nominal, fita aco, galvanizado diametro, fita, eletroduto flexivel, nominal;12;12;0;26;0.5062;0.6389;0.1946;0.6151;0.5764
113;bomba, usinado, resistencia, servico, classe, concreto;2;2;0;23;0.5000;0.5000;0.5000;0.5000;0.5000
59;mm amianto, amianto, ondulada, fibrocimento, telha, telha fibrocimento;10;10;0;35;0.4550;0.4367;0.4333;0.5000;0.4500
101;kg, cabine, cv inclui, peso bruto, total, chassi;11;11;0;24;0.4453;0.5379;0.4078;0.4076;0.4280
20;costura, leve dn, tubo aco, ii, maxima, kgm;18;0;18;64;0.4421;0.3640;0.3639;0.4597;0.5810
70;torneira, cromada, bico, arejador, cozinha, 12 34;13;13;0;31;0.3761;0.3591;0.3789;0.3552;0.4110
125;termoplastica, manta, mm nbr, lisa, pead, nbr;14;14;0;21;0.3343;0.5000;0.1230;0.2143;0.5000
61;capa, marco, folha, dobradicas, pronta, alizares;10;10;0;33;0.2956;0.3494;0.2187;0.2878;0.3263
41;500, media, capa, folha, tensao nominal, tripolar;5;5;0;42;0.2644;0.2963;0.2437;0.2573;0.2602
117;amianto, fibrocimento, estrutural, telha, aba, abas;2;2;0;22;0.2333;0.5000;0.1000;0.1667;0.1667
