codigo	descricao
118651	"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/8"" E PARAFUSO DE FIXACAO"
118652	"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3"" E CUNHA DE FIXACAO"
118653	"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3"" E PARAFUSO DE FIXACAO"
118654	"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 4"" E CUNHA DE FIXACAO"
118655	"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 4"" E PARAFUSO DE FIXACAO"
118656	"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO ECONOMICA (GOTA), COM 8"""
118657	"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1 1/2"""
118658	"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1 1/4"""
118659	"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1/2"""
118660	"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1"""
118661	"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 2 1/2"""
118662	"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 2"""
118663	"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3/4"""
118664	"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3/8"""
118665	"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3"""
118666	"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 4"""
118667	ABRACADEIRA PVC, PARA CALHA PLUVIAL, DIAMETRO ENTRE 80 E 100 MM, PARA DRENAGEM PREDIAL
118668	"ABRACADEIRA, GALVANIZADA/ZINCADA, ROSCA SEM FIM, PARAFUSO INOX, LARGURA FITA *12,6 A *14 MM, D = 2"" A 2 1/2"""
118669	"ABRACADEIRA, GALVANIZADA/ZINCADA, ROSCA SEM FIM, PARAFUSO INOX, LARGURA FITA *12,6 A *14 MM, D = 3"" A 3 3/4"""
118670	"ABRACADEIRA, GALVANIZADA/ZINCADA, ROSCA SEM FIM, PARAFUSO INOX, LARGURA FITA *12,6 A *14 MM, D = 4"" A 4 3/4"""
118671	"ACABAMENTO CROMADO PARA REGISTRO PEQUENO, 1/2 "" OU 3/4 """
118672	"ACABAMENTO SIMPLES/CONVENCIONAL PARA FORRO PVC, TIPO ""U"" OU ""C"", COR BRANCA, COMPRIMENTO 6 M"
118673	ACESSORIO DE LIGACAO NAO ELETRICO PARA CARGAS EXPLOSIVAS, TUBO DE 6 M
118674	ACESSORIO INICIADOR NAO ELETRICO, TUBO DE 6 M, TEMPO DE RETARDO DE *160* MS
118675	ACETILENO (RECARGA PARA CILINDRO DE CONJUNTO OXICORTE GRANDE)
118828	ACIDO MURIATICO, DILUICAO 10% A 12% PARA USO EM LIMPEZA
118830	ACO CA-25, 10,0 MM, OU 12,5 MM, OU 16,0 MM, OU 20,0 MM, OU 25,0 MM, VERGALHAO
118832	ACO CA-25, 16,0 MM, BARRA DE TRANSFERENCIA
118834	ACO CA-25, 20,0 MM, BARRA DE TRANSFERENCIA
118837	ACO CA-25, 25,0 MM, BARRA DE TRANSFERENCIA
118839	ACO CA-25, 32,0 MM, BARRA DE TRANSFERENCIA
118841	ACO CA-25, 32,0 MM, VERGALHAO
118843	ACO CA-25, 6,3 MM OU 8,0 MM, VERGALHAO
118846	ACO CA-50, 10,0 MM, OU 12,5 MM, OU 16,0 MM, OU 20,0 MM, DOBRADO E CORTADO
118848	ACO CA-50, 10,0 MM, VERGALHAO
118850	ACO CA-50, 12,5 MM OU 16,0 MM, VERGALHAO
118852	ACO CA-50, 20,0 MM OU 25,0 MM, VERGALHAO
118854	ACO CA-50, 32,0 MM, VERGALHAO
118857	ACO CA-50, 6,3 MM, DOBRADO E CORTADO
118859	ACO CA-50, 6,3 MM, VERGALHAO
118861	ACO CA-50, 8,0 MM, VERGALHAO
118863	ACO CA-60, 4,2 MM OU 5,0 MM, DOBRADO E CORTADO
118866	ACO CA-60, 4,2 MM, OU 5,0 MM, OU 6,0 MM, OU 7,0 MM, VERGALHAO
118868	ACO CA-60, 6,0 MM OU 7,0 MM, DOBRADO E CORTADO
118870	ACO CA-60, 8,0 MM OU 9,5 MM, VERGALHAO
118873	ACOPLAMENTO DE CONDUTOR PLUVIAL, EM PVC, DIAMETRO ENTRE 80 E 100 MM, PARA DRENAGEM PREDIAL
118875	"ACOPLAMENTO RIGIDO EM FERRO FUNDIDO PARA SISTEMA DE TUBULACAO RANHURADA, DN 50 MM (2"")"
118877	"ACOPLAMENTO RIGIDO EM FERRO FUNDIDO PARA SISTEMA DE TUBULACAO RANHURADA, DN 65 MM (2 1/2"")"
118879	"ACOPLAMENTO RIGIDO EM FERRO FUNDIDO PARA SISTEMA DE TUBULACAO RANHURADA, DN 80 MM (3"")"
118881	ADAPTADOR DE COBRE PARA TUBULACAO PEX, DN 16 X 15 MM
118883	ADAPTADOR DE COBRE PARA TUBULACAO PEX, DN 20 X 22 MM
118886	"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 20 MM X 1/2"", PARA LIGACAO PREDIAL DE AGUA (NTS 179)"
118888	"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 20 MM X 3/4"", PARA LIGACAO PREDIAL DE AGUA (NTS 179)"
118890	"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 32 MM X 1"", PARA LIGACAO PREDIAL DE AGUA (NTS 179)"
118892	"ADAPTADOR PVC PARA SIFAO METALICO, SOLDAVEL, COM ANEL BORRACHA (JE), 40 MM X 1 1/2"""
118894	"ADAPTADOR PVC PARA SIFAO, ROSCAVEL, 40 MM X 1 1/4"""
118972	"ADAPTADOR PVC ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 1/2"", PARA CAIXA D' AGUA"
118974	"ADAPTADOR PVC ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 1"", PARA CAIXA D' AGUA"
118977	"ADAPTADOR PVC ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 3/4"", PARA CAIXA D' AGUA"
118979	"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 110 MM X 4"", PARA AGUA FRIA"
118981	"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 20 MM X 1/2"", PARA AGUA FRIA"
118984	"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 25 MM X 3/4"", PARA AGUA FRIA"
118986	"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 32 MM X 1"", PARA AGUA FRIA"
118988	"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 40 MM X 1 1/2"", PARA AGUA FRIA"
118991	"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 40 MM X 1 1/4"", PARA AGUA FRIA"
118993	"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 50 MM X 1 1/4"", PARA AGUA FRIA"
118995	"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 50 MM X1 1/2"", PARA AGUA FRIA"
118998	"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 60 MM X 2"", PARA AGUA FRIA"
119000	"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 75 MM X 2 1/2"", PARA AGUA FRIA"
119003	"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 85 MM X 3"", PARA AGUA FRIA"
119005	"ADAPTADOR PVC SOLDAVEL, COM FLANGE E ANEL DE VEDACAO, 20 MM X 1/2"", PARA CAIXA D'AGUA"
119007	"ADAPTADOR PVC SOLDAVEL, COM FLANGE E ANEL DE VEDACAO, 25 MM X 3/4"", PARA CAIXA D'AGUA"
119010	"ADAPTADOR PVC SOLDAVEL, COM FLANGE E ANEL DE VEDACAO, 32 MM X 1"", PARA CAIXA D'AGUA"
119012	"ADAPTADOR PVC SOLDAVEL, COM FLANGE E ANEL DE VEDACAO, 40 MM X 1 1/4"", PARA CAIXA D'AGUA"
119014	"ADAPTADOR PVC SOLDAVEL, COM FLANGE E ANEL DE VEDACAO, 50 MM X 1 1/2"", PARA CAIXA D'AGUA"
119017	"ADAPTADOR PVC SOLDAVEL, COM FLANGES E ANEL DE VEDACAO, 60 MM X 2"", PARA CAIXA D' AGUA"
119019	"ADAPTADOR PVC SOLDAVEL, COM FLANGES LIVRES, 110 MM X 4"", PARA CAIXA D' AGUA"
119021	"ADAPTADOR PVC SOLDAVEL, COM FLANGES LIVRES, 25 MM X 3/4"", PARA CAIXA D' AGUA"
119024	"ADAPTADOR PVC SOLDAVEL, COM FLANGES LIVRES, 32 MM X 1"", PARA CAIXA D' AGUA"
119026	"ADAPTADOR PVC SOLDAVEL, COM FLANGES LIVRES, 40 MM X 1 1/4"", PARA CAIXA D' AGUA"
119028	"ADAPTADOR PVC SOLDAVEL, COM FLANGES LIVRES, 50 MM X 1 1/2"", PARA CAIXA D' AGUA"
119032	"ADAPTADOR PVC SOLDAVEL, COM FLANGES LIVRES, 60 MM X 2"", PARA CAIXA D' AGUA"
119034	"ADAPTADOR PVC SOLDAVEL, COM FLANGES LIVRES, 75 MM X 2 1/2"", PARA CAIXA D' AGUA"
119036	"ADAPTADOR PVC SOLDAVEL, COM FLANGES LIVRES, 85 MM X 3"", PARA CAIXA D' AGUA"
119039	"ADAPTADOR PVC SOLDAVEL, LONGO, COM FLANGE LIVRE, 110 MM X 4"", PARA CAIXA D' AGUA"
119041	"ADAPTADOR PVC SOLDAVEL, LONGO, COM FLANGE LIVRE, 25 MM X 3/4"", PARA CAIXA D' AGUA"
119043	"ADAPTADOR PVC SOLDAVEL, LONGO, COM FLANGE LIVRE, 32 MM X 1"", PARA CAIXA D' AGUA"
119046	"ADAPTADOR PVC SOLDAVEL, LONGO, COM FLANGE LIVRE, 40 MM X 1 1/4"", PARA CAIXA D' AGUA"
119048	"ADAPTADOR PVC SOLDAVEL, LONGO, COM FLANGE LIVRE, 50 MM X 1 1/2"", PARA CAIXA D' AGUA"
119050	"ADAPTADOR PVC SOLDAVEL, LONGO, COM FLANGE LIVRE, 60 MM X 2"", PARA CAIXA D' AGUA"
119053	"ADAPTADOR PVC SOLDAVEL, LONGO, COM FLANGE LIVRE, 75 MM X 2 1/2"", PARA CAIXA D' AGUA"
119055	"ADAPTADOR PVC SOLDAVEL, LONGO, COM FLANGE LIVRE, 85 MM X 3"", PARA CAIXA D' AGUA"
119057	"ADAPTADOR PVC, COM REGISTRO, PARA PEAD, 20 MM X 3/4"", PARA LIGACAO PREDIAL DE AGUA"
119060	"ADAPTADOR PVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 1 1/2"", PARA CAIXA D'AGUA"
119062	"ADAPTADOR PVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 1 1/4"", PARA CAIXA D' AGUA"
119064	"ADAPTADOR PVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 2"", PARA CAIXA D' AGUA"
119067	ADAPTADOR PVC, ROSCAVEL, PARA VALVULA PIA OU LAVATORIO, 40 MM
119069	ADAPTADOR, CPVC, SOLDAVEL, 15 MM, PARA AGUA QUENTE
119071	ADAPTADOR, CPVC, SOLDAVEL, 22 MM, PARA AGUA QUENTE
119074	"ADAPTADOR, EM LATAO, ENGATE RAPIDO 2 1/2"" X ROSCA INTERNA 5 FIOS 2 1/2"", PARA INSTALACAO PREDIAL DE COMBATE A INCENDIO"
119076	"ADAPTADOR, EM LATAO, ENGATE RAPIDO1 1/2"" X ROSCA INTERNA 5 FIOS 2 1/2"", PARA INSTALACAO PREDIAL DE COMBATE A INCENDIO"
119078	ADAPTADOR, PVC PBA, BOLSA/ROSCA, JE, DN 75 / DE 85 MM
119081	ADAPTADOR, PVC PBA, A BOLSA DEFOFO, JE, DN 100 / DE 110 MM
119083	ADAPTADOR, PVC PBA, A BOLSA DEFOFO, JE, DN 50 / DE 60 MM
119085	ADAPTADOR, PVC PBA, A BOLSA DEFOFO, JE, DN 75 / DE 85 MM
119088	ADAPTADOR, PVC PBA, BOLSA/ROSCA, JE, DN 100 / DE 110 MM
119090	ADAPTADOR, PVC PBA, BOLSA/ROSCA, JE, DN 50 / DE 60 MM
119093	ADAPTADOR, PVC PBA, PONTA/ROSCA, JE, DN 50 / DE 60 MM
119095	ADAPTADOR, PVC PBA, PONTA/ROSCA, JE, DN 75 / DE 85 MM
119097	ADESIVO ACRILICO/COLA DE CONTATO
119100	ADESIVO ESTRUTURAL A BASE DE RESINA EPOXI PARA INJECAO EM TRINCAS, BICOMPONENTE, BAIXA VISCOSIDADE
119102	ADESIVO ESTRUTURAL A BASE DE RESINA EPOXI, BICOMPONENTE, FLUIDO
119104	ADESIVO ESTRUTURAL A BASE DE RESINA EPOXI, BICOMPONENTE, PASTOSO (TIXOTROPICO)
119107	ADESIVO LIQUIDO A BASE DE RESINAS PARA COLAGEM DE ESPUMA DE ISOLAMENTO TERMICO FLEXIVEL
119109	ADESIVO PARA TUBOS CPVC, *75* G
119111	ADESIVO PLASTICO PARA PVC, BISNAGA COM 75 GR
119114	ADESIVO PLASTICO PARA PVC, FRASCO COM 175 GR
119116	ADESIVO PLASTICO PARA PVC, FRASCO COM 850 GR
119118	ADESIVO/COLA PARA EPS (ISOPOR) E OUTROS MATERIAIS
119121	ADITIVO ACELERADOR DE PEGA E ENDURECIMENTO PARA ARGAMASSAS E CONCRETOS, LIQUIDO E ISENTO DE CLORETOS
119123	ADITIVO ADESIVO LIQUIDO PARA ARGAMASSAS DE REVESTIMENTOS CIMENTICIOS
119125	ADITIVO IMPERMEABILIZANTE DE PEGA NORMAL PARA ARGAMASSAS E CONCRETOS SEM ARMACAO, LIQUIDO E ISENTO DE CLORETOS
119128	ADITIVO IMPERMEABILIZANTE DE PEGA ULTRARRAPIDA, LIQUIDO E ISENTO DE CLORETOS
119130	ADITIVO LIQUIDO IMPERMEABILIZANTE CRISTALIZANTE
119132	ADITIVO LIQUIDO INCORPORADOR DE AR PARA CONCRETO E ARGAMASSA, LIQUIDO E ISENTO DE CLORETOS
119135	ADITIVO PLASTIFICANTE E ESTABILIZADOR PARA ARGAMASSAS DE ASSENTAMENTO E REBOCO, LIQUIDO E ISENTO DE CLORETOS
119137	ADITIVO PLASTIFICANTE RETARDADOR DE PEGA E REDUTOR DE AGUA PARA CONCRETO, LIQUIDO E ISENTO DE CLORETOS
119139	ADITIVO SUPERPLASTIFICANTE DE PEGA NORMAL PARA CONCRETO, LIQUIDO E ISENTO DE CLORETOS
119527	ADUELA/ GALERIA PRE-MOLDADA DE CONCRETO ARMADO, SECAO QUADRADA INTERNA DE 1,50 X 1,50 M (L X A), MISULA DE 20 X 20 CM, C = 1,00 M, ESPESSURA MIN = 15 CM, TB-45 E FCK DO CONCRETO = 30 MPA
119529	ADUELA/ GALERIA PRE-MOLDADA DE CONCRETO ARMADO, SECAO RETANGULAR INTERNA DE 2,00 X 2,00 M (L X A), MISULA DE 20 X 20 CM, C = 1,00 M, ESPESSURA MIN = 15 CM, TB-45 E FCK DO CONCRETO = 30 MPA
119532	ADUELA/ GALERIA PRE-MOLDADA DE CONCRETO ARMADO, SECAO RETANGULAR INTERNA DE 2,50 X 2,50 M (L X A), MISULA DE 20 X 20 CM, C = 1,00 M, ESPESSURA MIN = 15 CM, TB-45 E FCK DO CONCRETO = 30 MPA
119534	ADUELA/ GALERIA PRE-MOLDADA DE CONCRETO ARMADO, SECAO RETANGULAR INTERNA DE 3,00 X 3,00 M (L X A), MISULA DE 20 X 20 CM, C = 1.00 M, ESPESSURA MIN = 20 CM, TB-45 E FCK DO CONCRETO = 30 MPA
119537	AFASTADOR PARA TELHA DE FIBROCIMENTO CANALETE 90 OU KALHETAO
119539	AGENTE DE CURA, PROTETOR DA EVAPORACAO DA AGUA DE HIDRATACAO DO CONCRETO
119563	AGREGADO RECICLADO, TIPO RACHAO RECICLADO CINZA, CLASSE A
119565	AJUDANTE DE ARMADOR
119568	AJUDANTE DE ARMADOR (MENSALISTA)
119570	AJUDANTE DE ELETRICISTA
119572	AJUDANTE DE ELETRICISTA (MENSALISTA)
119575	AJUDANTE DE ESTRUTURAS METALICAS
119577	AJUDANTE DE ESTRUTURAS METALICAS (MENSALISTA)
119580	AJUDANTE DE OPERACAO EM GERAL
119582	AJUDANTE DE OPERACAO EM GERAL (MENSALISTA)
119584	AJUDANTE DE PINTOR
119586	AJUDANTE DE PINTOR (MENSALISTA)
119589	AJUDANTE DE SERRALHEIRO
119591	AJUDANTE DE SERRALHEIRO (MENSALISTA)
119593	AJUDANTE ESPECIALIZADO
119596	AJUDANTE ESPECIALIZADO (MENSALISTA)
119598	"ALCA PREFORMADA DE CONTRA POSTE, EM ACO GALVANIZADO, PARA CABO 3/16"", COMPRIMENTO *860* MM"
119600	ALCA PREFORMADA DE DISTRIBUICAO, EM ACO GALVANIZADO, PARA CABO DE ALUMINIO DIAMETRO 16 A 25 MM
119602	ALCA PREFORMADA DE DISTRIBUICAO, EM ACO GALVANIZADO, PARA CONDUTORES DE ALUMINIO AWG 1/0 (CAA 6/1 OU CA 7 FIOS)
119605	ALCA PREFORMADA DE DISTRIBUICAO, EM ACO GALVANIZADO, PARA CONDUTORES DE ALUMINIO AWG 2 (CAA 6/1 OU CA 7 FIOS)
119607	ALCA PREFORMADA DE SERVICO, EM ACO GALVANIZADO, PARA CONDUTORES DE ALUMINIO AWG 4 (CAA 6/1)
119610	ALCA PREFORMADA DE SERVICO, EM ACO GALVANIZADO, PARA CONDUTORES DE ALUMINIO AWG 6 (CAA 6/1)
119612	"ALICATE DE CORTE DIAGONAL 6 "" COM ISOLAMENTO"
119615	ALICATE DE CRIMPAR RJ11, RJ12 E RJ45
119618	"ALICATE DE PRESSAO PARA SOLDA DE CHAPA 18 """
119620	"ALICATE DE PRESSAO 11 "" PARA SOLDA, TIPO C"
119622	"ALICATE DE PRESSAO 11 "" PARA SOLDA, TIPO U"
119625	ALICATE PARA ANEIS DE PISTAO, CAPACIDADE 50 A 100 MM
119627	ALIMENTACAO - HORISTA (COLETADO CAIXA)
119629	ALIMENTACAO - MENSALISTA (COLETADO CAIXA)
119632	ALISADORA DE CONCRETO COM MOTOR A GASOLINA DE 5,5 HP, PESO COM MOTOR DE 78 KG, 4 PAS
119634	ALMOXARIFE
119637	ALMOXARIFE (MENSALISTA)
119639	ALONGADOR COM TRES ALTURAS, EM TUBO DE ACO CARBONO, PINTURA NO PROCESSO ELETROSTATICO - EQUIPAMENTO DE GINASTICA PARA ACADEMIA AO AR LIVRE / ACADEMIA DA TERCEIRA IDADE - ATI
119641	ALUMINIO ANODIZADO
119644	ANEL BORRACHA DN 100 MM, PARA TUBO SERIE REFORCADA ESGOTO PREDIAL
119646	ANEL BORRACHA DN 75 MM, PARA TUBO SERIE REFORCADA ESGOTO PREDIAL
119648	ANEL BORRACHA PARA TUBO ESGOTO PREDIAL DN 40 MM (NBR 5688)
119651	ANEL BORRACHA PARA TUBO ESGOTO PREDIAL DN 50 MM (NBR 5688)
119653	ANEL BORRACHA PARA TUBO ESGOTO PREDIAL DN 75 MM (NBR 5688)
119655	ANEL BORRACHA PARA TUBO ESGOTO PREDIAL, DN 100 MM (NBR 5688)
119658	ANEL BORRACHA, DN 150 MM, PARA TUBO SERIE REFORCADA ESGOTO PREDIAL
119660	ANEL BORRACHA, DN 40 MM, PARA TUBO SERIE REFORCADA ESGOTO PREDIAL
119662	ANEL BORRACHA, DN 50 MM, PARA TUBO SERIE REFORCADA ESGOTO PREDIAL
119665	ANEL BORRACHA, PARA TUBO PVC DEFOFO, DN 100 MM (NBR 7665)
119667	ANEL BORRACHA, PARA TUBO PVC DEFOFO, DN 150 MM (NBR 7665)
119670	ANEL BORRACHA, PARA TUBO PVC DEFOFO, DN 200 MM (NBR 7665)
119672	ANEL BORRACHA, PARA TUBO PVC DEFOFO, DN 250 MM (NBR 7665)
119674	ANEL BORRACHA, PARA TUBO PVC DEFOFO, DN 300 MM (NBR 7665)
119677	ANEL BORRACHA, PARA TUBO PVC, REDE COLETOR ESGOTO, DN 100 MM (NBR 7362)
119679	ANEL BORRACHA, PARA TUBO PVC, REDE COLETOR ESGOTO, DN 150 MM (NBR 7362)
119681	ANEL BORRACHA, PARA TUBO PVC, REDE COLETOR ESGOTO, DN 200 MM (NBR 7362)
119684	ANEL BORRACHA, PARA TUBO PVC, REDE COLETOR ESGOTO, DN 250 MM (NBR 7362)
119686	ANEL BORRACHA, PARA TUBO PVC, REDE COLETOR ESGOTO, DN 350 MM (NBR 7362)
119688	ANEL BORRACHA, PARA TUBO PVC, REDE COLETOR ESGOTO, DN 400 MM (NBR 7362)
119691	ANEL BORRACHA, PARA TUBO/CONEXAO PVC PBA, DN 100 MM, PARA REDE AGUA
119693	ANEL BORRACHA, PARA TUBO/CONEXAO PVC PBA, DN 50 MM, PARA REDE AGUA
119696	ANEL BORRACHA, PARA TUBO/CONEXAO PVC PBA, DN 60 MM, PARA REDE AGUA
119698	ANEL BORRACHA, PARA TUBO/CONEXAO PVC PBA, DN 75 MM, PARA REDE AGUA
119700	ANEL BORRACHA, PARA TUBO, PVC REDE COLETOR ESGOTO, DN 300 MM (NBR 7362)
119703	"ANEL DE BORRACHA PARA VEDACAO DE DUTO PEAD CORRUGADO PARA ELETRICA, DN 1 1/2"""
119705	"ANEL DE BORRACHA PARA VEDACAO DE DUTO PEAD CORRUGADO PARA ELETRICA, DN 1 1/4"""
119707	"ANEL DE BORRACHA PARA VEDACAO DE DUTO PEAD CORRUGADO PARA ELETRICA, DN 2"""
119710	"ANEL DE BORRACHA PARA VEDACAO DE DUTO PEAD CORRUGADO PARA ELETRICA, DN 3"""
119712	"ANEL DE BORRACHA PARA VEDACAO DE DUTO PEAD CORRUGADO PARA ELETRICA, DN 4"""
119714	ANEL DE CONCRETO ARMADO COM FUNDO, PARA FOSSA E POCO 1,50 X *0,50* M
119717	ANEL DE CONCRETO ARMADO COM FUNDO, PARA FOSSA E POCO 2,00 X *0,50* M
119719	ANEL DE CONCRETO ARMADO COM FUNDO, PARA FOSSA E POCO 2,50 X *0,50* M
119721	ANEL DE CONCRETO ARMADO, COM FUROS/DRENO PARA SUMIDOURO, D = 0,80 M, H = 0,50 M
119724	ANEL DE CONCRETO ARMADO, COM FUROS/DRENO PARA SUMIDOURO, D = 1,00 M, H = 0,50M
119726	ANEL DE CONCRETO ARMADO, COM FUROS/DRENO PARA SUMIDOURO, D = 1,50 M, H = 0,50 M
119728	ANEL DE DISTRIBUICAO EM ACO GALVANIZADO PARA FIO FE-160
119731	"ANEL DE EXPANSAO EM COBRE, ENGATE RAPIDO 1 1/2"", PARA EMPATACAO MANGUEIRA DE COMBATE A INCENDIO PREDIAL"
119733	"ANEL DE EXPANSAO EM COBRE, ENGATE RAPIDO 2 1/2"", PARA EMPATACAO MANGUEIRA DE COMBATE A INCENDIO PREDIAL"
119736	ANEL DE VEDACAO/JUNTA ELASTICA, H = *16* MM, PARA TUBO DE CONCRETO DN 300 MM
119738	ANEL DE VEDACAO/JUNTA ELASTICA, H = *16* MM, PARA TUBO DE CONCRETO DN 400 MM
119774	ANEL DE VEDACAO/JUNTA ELASTICA, H = *16* MM, PARA TUBO DE CONCRETO DN 500 MM
119776	ANEL DE VEDACAO/JUNTA ELASTICA, H = *16* MM, PARA TUBO DE CONCRETO DN 600 MM
119778	ANEL DE VEDACAO/JUNTA ELASTICA, H = *18* MM, PARA TUBO DE CONCRETO DN 700 MM
119781	ANEL DE VEDACAO/JUNTA ELASTICA, H = *19* MM, PARA TUBO DE CONCRETO DN 800 MM
119783	ANEL DE VEDACAO/JUNTA ELASTICA, H = *19* MM, PARA TUBO DE CONCRETO DN 900 MM
119785	ANEL DE VEDACAO/JUNTA ELASTICA, H = *21* MM, PARA TUBO DE CONCRETO DN 1000 MM
119787	ANEL DESLIZANTE / TRADICIONAL, METALICO, PARA TUBO PEX, DN 16 MM
119790	ANEL DESLIZANTE / TRADICIONAL, METALICO, PARA TUBO PEX, DN 20 MM
119792	ANEL DESLIZANTE / TRADICIONAL, METALICO, PARA TUBO PEX, DN 25 MM
